id,product_id,store_id,quantity,order_date,delivered_date
50,24,2,123,2018-01-14,2018-01-19
51,24,1,185,2017-12-06,2017-12-16
52,42,3,25,2017-12-21,2017-12-27
53,13,1,126,2017-07-17,2017-07-29
54,14,5,15,2017-06-26,2017-07-10
55,22,2,42,2018-03-17,2018-03-22
56,5,5,63,2018-03-28,2018-04-02
57,15,3,47,2017-06-02,2017-06-08
58,10,2,148,2017-10-07,2017-10-21
59,12,1,179,2017-06-14,2017-06-18
60,1,3,70,2018-03-29,2018-04-05
61,6,1,100,2017-11-29,2017-12-16
62,25,5,145,2017-10-03,2017-10-24
63,34,4,153,2017-08-01,2017-08-08
64,49,4,11,2018-03-06,2018-03-20
65,9,2,141,2018-11-22,2018-12-12
66,50,3,112,2017-11-14,2017-11-21
67,22,5,119,2018-08-01,2018-08-05
68,21,5,139,2018-07-31,2018-08-17
69,35,4,81,2018-04-02,2018-04-10
70,9,4,190,2018-05-12,2018-05-31
71,22,3,148,2018-05-14,2018-06-04
72,28,3,91,2018-03-22,2018-03-30
73,33,2,87,2017-09-30,2017-10-05
74,45,4,95,2017-06-27,2017-07-04
75,1,1,20,2017-11-07,2017-11-19
76,24,2,160,2018-01-24,2018-01-29
77,16,2,174,2017-09-27,2017-10-10
78,21,1,63,2017-06-06,2017-06-19
79,22,4,18,2018-11-17,2018-11-26
80,41,4,152,2017-12-04,2017-12-10
81,19,3,82,2018-11-15,2018-12-04
82,40,4,108,2019-01-22,2019-02-09
83,10,4,186,2018-01-14,2018-01-30
84,29,4,194,2018-03-27,2018-04-12
85,10,1,43,2018-06-11,2018-06-30
86,48,2,104,2018-03-22,2018-03-31
87,5,5,65,2017-11-25,2017-12-15
88,7,2,58,2017-08-04,2017-08-11
89,13,5,46,2017-06-08,2017-06-20
90,40,1,25,2018-06-22,2018-06-25
91,6,5,72,2018-07-31,2018-08-11
92,32,2,62,2018-12-19,2019-01-05
93,23,1,146,2017-11-17,2017-12-05
94,26,5,190,2017-08-29,2017-09-15
95,12,2,99,2018-10-05,2018-10-22
96,21,3,102,2018-12-28,2019-01-08
97,31,2,107,2017-11-06,2017-11-27
98,3,3,46,2017-09-01,2017-09-20
99,50,4,107,2018-12-20,2018-12-30
100,47,1,110,2017-07-25,2017-08-14
101,12,4,40,2018-09-24,2018-10-02
102,5,4,185,2018-01-07,2018-01-16
103,29,2,154,2019-01-18,2019-01-26
104,2,3,56,2017-11-24,2017-12-01
105,37,5,167,2018-01-06,2018-01-22
106,11,1,197,2018-08-12,2018-08-25
107,43,5,29,2018-04-07,2018-04-17
108,36,5,46,2018-01-29,2018-02-06
109,21,3,189,2018-02-06,2018-02-27
110,35,2,91,2018-12-22,2019-01-03
111,18,4,41,2018-10-14,2018-10-31
112,48,4,66,2017-11-13,2017-11-28
113,19,2,15,2019-01-06,2019-01-19
114,17,3,157,2018-10-24,2018-10-30
115,12,4,164,2019-01-18,2019-02-04
116,1,2,156,2017-11-26,2017-12-13
117,5,2,24,2018-05-06,2018-05-16
118,43,5,129,2018-11-22,2018-12-10
119,47,1,64,2018-10-16,2018-10-29
120,9,5,152,2018-11-14,2018-11-24
121,9,2,17,2017-09-09,2017-09-16
122,24,4,196,2017-07-26,2017-08-15
123,13,2,19,2017-07-16,2017-07-27
124,49,5,135,2018-09-20,2018-10-09
125,33,5,155,2018-08-23,2018-09-06
126,44,2,187,2018-06-17,2018-07-06
127,23,2,70,2018-11-30,2018-12-15
128,4,1,61,2017-06-18,2017-06-29
129,20,2,109,2017-08-23,2017-09-13
130,37,3,38,2018-09-15,2018-09-20
131,23,2,63,2019-01-06,2019-01-11
132,2,2,174,2019-01-13,2019-01-21
133,50,5,99,2017-06-25,2017-06-30
134,20,2,132,2018-03-11,2018-03-30
135,13,1,166,2017-12-19,2017-12-22
136,37,4,130,2017-08-24,2017-09-02
137,44,5,137,2017-09-04,2017-09-10
138,10,4,22,2017-11-02,2017-11-09
139,8,2,50,2017-09-29,2017-10-16
140,27,4,179,2017-10-21,2017-10-25
141,8,5,200,2017-08-31,2017-09-06
142,8,4,113,2017-09-16,2017-09-23
143,12,1,40,2017-07-03,2017-07-20
144,9,3,179,2018-11-24,2018-12-11
145,16,2,169,2018-01-06,2018-01-10
146,19,5,59,2018-08-16,2018-08-31
147,22,2,147,2017-06-14,2017-06-22
148,30,3,143,2017-09-15,2017-09-22
149,49,3,55,2017-09-11,2017-09-16
150,19,1,152,2018-07-10,2018-07-29
151,9,3,12,2019-01-12,2019-01-25
152,9,2,162,2018-03-21,2018-04-05
153,9,1,161,2017-12-16,2017-12-30
154,23,4,26,2017-06-02,2017-06-11
155,46,5,162,2018-05-20,2018-05-27
156,50,5,137,2017-06-18,2017-06-24
157,15,4,40,2017-10-24,2017-11-04
158,13,4,101,2018-12-15,2018-12-28
159,35,3,109,2018-04-11,2018-04-18
160,14,1,76,2017-08-16,2017-08-23
161,2,2,133,2017-07-26,2017-08-11
162,8,3,167,2017-11-13,2017-12-01
163,15,5,136,2018-03-12,2018-03-16
164,11,5,168,2017-08-02,2017-08-19
165,47,1,120,2018-08-11,2018-09-01
166,2,4,68,2017-10-12,2017-10-19
167,19,5,176,2017-09-18,2017-10-01
168,21,3,50,2017-06-08,2017-06-18
169,45,3,18,2018-02-11,2018-02-15
170,8,1,167,2018-06-07,2018-06-22
171,32,5,173,2018-09-06,2018-09-20
172,28,3,169,2017-08-06,2017-08-20
173,29,5,183,2018-05-23,2018-06-06
174,19,4,54,2018-02-08,2018-02-19
175,31,1,45,2018-02-13,2018-03-02
176,28,1,38,2017-07-16,2017-08-05
177,4,1,141,2017-10-04,2017-10-08
178,14,1,198,2018-07-28,2018-08-17
179,15,1,125,2018-07-14,2018-07-25
180,49,1,135,2017-11-13,2017-11-29
181,34,1,149,2017-06-14,2017-07-03
182,7,3,124,2017-09-18,2017-09-25
183,38,1,194,2017-09-19,2017-10-02
184,46,1,128,2017-08-26,2017-09-04
185,33,1,114,2018-09-07,2018-09-13
186,16,1,128,2018-01-21,2018-02-03
187,6,1,83,2018-06-05,2018-06-24
188,18,4,86,2017-12-22,2018-01-06
189,12,1,190,2017-12-19,2017-12-22
190,2,5,121,2017-12-04,2017-12-18
191,35,5,183,2018-05-30,2018-06-16
192,28,4,162,2018-02-15,2018-03-05
193,2,2,40,2018-12-27,2018-12-30
194,22,2,181,2017-12-23,2018-01-07
195,11,4,75,2018-08-22,2018-09-06
196,28,2,30,2018-05-28,2018-06-18
197,5,5,71,2017-10-20,2017-11-07
198,2,1,24,2018-02-28,2018-03-15
199,27,4,35,2018-04-15,2018-04-28
200,41,5,16,2017-08-09,2017-08-15
201,4,4,160,2018-10-11,2018-10-28
202,8,3,19,2017-06-21,2017-07-02
203,38,2,149,2018-12-18,2018-12-23
204,46,5,189,2018-03-04,2018-03-25
205,1,3,73,2017-08-07,2017-08-20
206,12,1,75,2018-10-27,2018-10-31
207,38,3,175,2018-10-22,2018-11-06
208,39,5,136,2018-01-16,2018-01-21
209,13,4,161,2018-08-24,2018-08-30
210,27,4,164,2018-12-22,2019-01-03
211,7,4,107,2017-09-10,2017-09-17
212,14,4,83,2017-07-21,2017-08-08
213,31,5,78,2018-02-10,2018-02-20
214,12,3,121,2017-12-05,2017-12-14
215,48,5,181,2018-03-24,2018-04-14
216,37,1,166,2018-08-31,2018-09-03
217,5,3,52,2018-08-16,2018-08-23
218,2,2,129,2017-07-23,2017-08-11
219,30,5,53,2017-09-17,2017-09-22
220,27,1,50,2017-06-29,2017-07-10
221,7,5,31,2018-01-27,2018-02-10
222,44,5,156,2018-11-08,2018-11-27
223,50,5,124,2017-10-29,2017-11-04
224,6,4,15,2018-12-03,2018-12-22
225,41,5,84,2018-11-03,2018-11-06
226,5,5,112,2018-02-22,2018-03-06
227,35,2,51,2017-10-02,2017-10-19
228,23,5,141,2018-01-25,2018-02-15
229,29,5,105,2018-08-23,2018-08-26
230,35,2,25,2017-06-27,2017-07-08
231,35,1,117,2018-09-29,2018-10-12
232,31,1,56,2017-12-11,2017-12-26
233,37,1,86,2018-07-18,2018-07-23
234,49,1,50,2018-11-06,2018-11-24
235,44,5,79,2017-11-17,2017-12-03
236,36,5,48,2018-09-18,2018-10-03
237,38,4,180,2017-07-22,2017-08-02
238,3,5,100,2018-01-21,2018-01-27
239,17,1,158,2018-08-08,2018-08-14
240,23,4,21,2018-10-20,2018-11-09
241,42,2,55,2018-10-13,2018-10-25
242,44,5,152,2018-01-16,2018-01-29
243,47,4,100,2017-09-18,2017-10-05
244,38,4,56,2018-03-27,2018-03-31
245,39,4,189,2018-03-17,2018-04-01
246,25,5,73,2018-02-27,2018-03-15
247,2,3,125,2018-11-06,2018-11-18
248,10,1,123,2017-06-12,2017-06-19
249,36,3,36,2018-07-01,2018-07-08
250,11,3,158,2018-02-04,2018-02-20
251,18,5,149,2017-10-07,2017-10-10
252,33,5,66,2018-02-28,2018-03-20
253,26,5,188,2018-10-27,2018-11-06
254,40,1,121,2017-10-19,2017-10-30
255,26,4,48,2018-11-22,2018-12-09
256,39,5,27,2018-08-10,2018-08-13
257,40,1,32,2018-04-04,2018-04-09
258,14,1,160,2018-02-10,2018-02-24
259,43,5,173,2017-11-15,2017-11-24
260,46,4,37,2018-01-25,2018-02-03
261,31,4,10,2018-05-16,2018-05-24
262,16,1,75,2018-04-25,2018-05-15
263,33,1,112,2018-05-07,2018-05-10
264,11,3,81,2018-04-06,2018-04-24
265,10,3,41,2017-09-08,2017-09-24
266,21,1,59,2018-03-24,2018-04-04
267,2,5,116,2018-07-17,2018-07-22
268,31,4,26,2018-11-11,2018-11-18
269,45,3,162,2018-12-04,2018-12-25
270,49,5,171,2017-07-13,2017-08-02
271,35,1,112,2018-09-16,2018-10-06
272,10,1,79,2017-08-21,2017-09-07
273,18,4,142,2017-09-16,2017-09-26
274,21,5,57,2018-07-09,2018-07-24
275,17,5,118,2018-12-04,2018-12-14
276,45,5,111,2018-12-15,2019-01-01
277,20,5,107,2019-01-02,2019-01-14
278,45,1,93,2018-05-15,2018-06-05
279,17,3,178,2017-07-21,2017-07-27
280,8,5,44,2017-12-02,2017-12-06
281,44,4,102,2018-02-08,2018-02-23
282,45,1,99,2017-09-25,2017-09-30
283,31,1,118,2017-08-03,2017-08-13
284,39,5,152,2018-07-10,2018-07-19
285,27,3,73,2018-07-26,2018-08-02
286,7,5,158,2018-02-22,2018-03-07
287,24,5,24,2018-06-24,2018-07-12
288,1,1,16,2019-01-08,2019-01-20
289,9,3,145,2019-01-16,2019-01-27
290,12,1,85,2018-06-21,2018-07-06
291,44,3,199,2018-12-23,2019-01-08
292,28,4,115,2017-07-22,2017-08-04
293,28,3,51,2017-06-15,2017-06-27
294,21,4,103,2018-10-15,2018-11-01
295,22,5,17,2019-01-06,2019-01-23
296,20,3,66,2017-12-14,2018-01-02
297,39,1,118,2017-10-12,2017-10-22
298,24,3,113,2018-06-26,2018-07-03
299,41,2,117,2018-05-11,2018-05-23
300,4,1,111,2018-05-09,2018-05-23
301,15,1,12,2018-08-10,2018-08-18
302,12,1,54,2017-11-03,2017-11-15
303,12,4,119,2018-10-03,2018-10-21
304,20,4,44,2018-04-20,2018-04-25
305,25,1,36,2017-08-20,2017-08-28
306,18,1,33,2018-06-17,2018-07-06
307,17,5,142,2018-07-03,2018-07-07
308,1,5,13,2017-09-19,2017-10-07
309,38,5,111,2018-10-06,2018-10-24
310,36,2,60,2017-08-21,2017-08-29
311,37,5,101,2018-08-29,2018-09-01
312,18,4,44,2018-07-24,2018-08-04
313,11,4,29,2017-10-29,2017-11-04
314,11,1,62,2018-11-24,2018-12-05
315,15,4,97,2018-01-20,2018-02-05
316,23,5,196,2018-07-01,2018-07-21
317,4,4,151,2018-05-25,2018-06-02
318,24,3,141,2017-11-27,2017-12-09
319,9,1,181,2018-12-23,2019-01-02
320,33,3,74,2018-06-06,2018-06-17
321,4,1,183,2018-08-14,2018-08-25
322,20,3,83,2018-09-22,2018-10-05
323,48,2,60,2017-08-18,2017-08-24
324,9,2,49,2018-09-02,2018-09-14
325,50,5,167,2018-10-17,2018-10-22
326,29,4,111,2017-12-29,2018-01-08
327,43,3,175,2017-11-18,2017-12-06
328,11,1,59,2018-12-21,2019-01-10
329,25,2,28,2018-09-30,2018-10-14
330,46,1,177,2018-12-08,2018-12-12
331,5,5,109,2018-02-08,2018-02-12
332,17,3,192,2017-12-17,2017-12-21
333,25,5,68,2018-04-29,2018-05-19
334,33,2,78,2018-01-21,2018-02-03
335,15,3,13,2017-07-07,2017-07-13
336,33,1,193,2018-07-11,2018-07-28
337,31,5,83,2018-11-09,2018-11-14
338,28,3,54,2018-03-13,2018-03-24
339,17,3,76,2018-02-24,2018-03-12
340,4,5,63,2018-11-30,2018-12-14
341,45,1,131,2018-01-09,2018-01-26
342,46,5,37,2017-06-16,2017-06-29
343,16,5,41,2017-10-29,2017-11-18
344,30,5,141,2018-02-17,2018-03-09
345,48,4,169,2019-01-03,2019-01-24
346,28,5,145,2018-11-09,2018-11-16
347,49,5,25,2018-04-10,2018-04-23
348,31,5,189,2017-10-15,2017-11-02
349,7,3,125,2017-10-19,2017-10-30
350,25,2,19,2017-08-31,2017-09-20
351,48,4,191,2018-02-14,2018-02-22
352,18,2,62,2018-12-23,2019-01-02
353,38,4,51,2018-11-16,2018-11-26
354,16,5,36,2017-11-02,2017-11-08
355,42,5,137,2017-07-01,2017-07-16
356,11,5,63,2017-11-24,2017-12-13
357,33,1,192,2019-01-13,2019-02-02
358,14,2,47,2017-10-03,2017-10-07
359,8,1,57,2018-01-22,2018-01-30
360,1,1,26,2018-11-17,2018-12-02
361,30,4,107,2017-09-26,2017-09-30
362,2,5,171,2018-12-24,2019-01-11
363,46,4,41,2017-06-12,2017-07-02
364,6,3,58,2018-06-17,2018-07-02
365,6,3,25,2018-01-27,2018-02-16
366,19,3,176,2018-02-05,2018-02-10
367,38,5,22,2018-10-08,2018-10-19
368,27,5,174,2017-10-20,2017-10-29
369,21,3,114,2018-04-20,2018-04-26
370,3,1,60,2017-06-18,2017-07-05
371,49,4,56,2017-06-04,2017-06-18
372,18,3,200,2018-06-24,2018-07-11
373,5,3,15,2017-07-18,2017-08-03
374,28,4,118,2018-03-03,2018-03-08
375,5,1,175,2018-07-08,2018-07-22
376,20,1,191,2017-09-01,2017-09-11
377,19,1,124,2018-12-07,2018-12-20
378,7,4,167,2018-03-03,2018-03-21
379,3,5,167,2017-06-16,2017-06-30
380,50,5,59,2018-08-15,2018-08-31
381,36,2,85,2018-12-20,2018-12-27
382,25,5,195,2019-01-03,2019-01-24
383,40,4,50,2018-07-03,2018-07-20
384,1,5,69,2018-12-05,2018-12-21
385,36,5,143,2019-01-01,2019-01-07
386,31,5,184,2018-10-10,2018-10-15
387,24,1,104,2018-08-14,2018-08-22
388,24,4,29,2019-01-05,2019-01-22
389,25,1,187,2018-01-29,2018-02-05
390,2,1,43,2018-08-16,2018-08-30
391,30,5,157,2018-12-25,2019-01-02
392,25,1,87,2017-08-20,2017-09-09
393,1,5,104,2017-10-21,2017-10-26
394,30,3,95,2018-11-05,2018-11-18
395,8,4,134,2018-09-11,2018-09-23
396,46,1,181,2017-10-20,2017-11-07
397,19,4,164,2017-12-07,2017-12-12
398,7,5,182,2018-12-17,2018-12-24
399,18,1,165,2018-07-18,2018-07-25
400,28,3,55,2017-11-14,2017-11-21
401,39,4,95,2018-11-07,2018-11-28
402,5,4,23,2018-02-26,2018-03-12
403,18,2,36,2018-12-19,2019-01-02
404,44,3,105,2018-10-11,2018-10-15
405,21,4,139,2017-10-08,2017-10-11
406,37,2,42,2018-06-11,2018-06-29
407,1,5,14,2017-07-21,2017-07-26
408,41,4,66,2018-05-17,2018-06-02
409,18,1,127,2017-11-23,2017-12-02
410,9,3,130,2017-11-29,2017-12-18
411,11,5,166,2018-05-02,2018-05-13
412,1,1,32,2018-10-11,2018-10-30
413,42,5,56,2017-11-12,2017-11-23
414,46,4,71,2017-09-01,2017-09-08
415,27,1,109,2018-12-08,2018-12-22
416,1,4,26,2017-07-31,2017-08-14
417,36,1,33,2017-09-27,2017-10-18
418,24,1,166,2017-11-30,2017-12-17
419,7,1,90,2017-12-08,2017-12-24
420,6,1,200,2018-06-07,2018-06-17
421,29,1,155,2017-10-18,2017-10-27
422,3,1,128,2017-08-12,2017-08-28
423,38,3,184,2017-06-16,2017-06-19
424,31,3,189,2017-08-28,2017-09-16
425,37,3,153,2018-05-02,2018-05-14
426,15,2,155,2018-11-17,2018-12-04
427,27,5,152,2019-01-08,2019-01-17
428,27,3,43,2018-02-19,2018-03-02
429,31,1,115,2017-08-30,2017-09-18
430,10,4,61,2018-04-15,2018-05-05
431,6,2,195,2017-08-12,2017-08-16
432,17,3,21,2017-11-05,2017-11-19
433,50,5,179,2018-07-18,2018-07-28
434,44,2,27,2018-09-23,2018-10-05
435,14,3,122,2018-02-18,2018-03-09
436,49,2,96,2017-11-03,2017-11-19
437,34,1,113,2018-03-07,2018-03-27
438,28,1,200,2018-08-14,2018-08-31
439,13,5,150,2018-01-11,2018-01-22
440,20,5,138,2017-12-17,2018-01-06
441,20,2,91,2018-01-20,2018-02-04
442,41,3,113,2017-10-20,2017-11-09
443,4,3,95,2017-07-25,2017-08-11
444,29,3,190,2017-07-22,2017-08-06
445,24,4,168,2018-05-10,2018-05-24
446,6,3,111,2017-11-11,2017-11-20
447,37,2,196,2017-06-10,2017-06-14
448,35,3,93,2017-09-18,2017-09-22
449,32,3,197,2017-06-29,2017-07-05
450,15,1,31,2017-09-11,2017-09-28
451,50,5,109,2017-09-06,2017-09-09
452,10,3,85,2018-08-30,2018-09-14
453,4,2,53,2017-06-25,2017-07-10
454,46,5,104,2018-01-26,2018-02-08
455,18,1,184,2017-11-29,2017-12-02
456,6,2,56,2018-08-23,2018-09-05
457,37,3,25,2017-06-11,2017-06-19
458,27,1,30,2018-04-24,2018-04-30
459,22,2,194,2017-12-05,2017-12-19
460,42,5,76,2018-08-25,2018-09-07
461,3,4,82,2017-07-15,2017-08-02
462,7,4,190,2017-12-13,2017-12-20
463,30,5,150,2017-07-21,2017-08-04
464,46,5,182,2018-06-10,2018-06-13
465,15,1,22,2017-06-10,2017-06-25
466,19,5,65,2018-04-08,2018-04-11
467,14,5,40,2017-06-04,2017-06-15
468,23,2,18,2018-01-06,2018-01-22
469,3,5,166,2018-03-19,2018-03-24
470,5,5,86,2017-09-05,2017-09-15
471,42,3,167,2017-11-26,2017-12-16
472,23,3,72,2018-06-18,2018-07-09
473,22,2,21,2018-06-06,2018-06-21
474,5,1,25,2018-07-23,2018-08-10
475,37,5,13,2017-06-20,2017-07-05
476,37,4,150,2017-07-31,2017-08-05
477,35,4,193,2018-08-24,2018-09-11
478,17,1,188,2018-02-03,2018-02-21
479,33,3,187,2017-10-07,2017-10-16
480,43,2,155,2018-03-23,2018-04-04
481,38,3,67,2017-06-22,2017-06-25
482,26,4,127,2018-06-22,2018-06-30
483,22,3,12,2018-01-10,2018-01-18
484,41,3,12,2017-08-14,2017-09-01
485,14,4,90,2018-02-17,2018-02-24
486,26,2,83,2017-09-17,2017-10-04
487,35,3,57,2019-01-18,2019-01-22
488,41,2,179,2019-01-08,2019-01-15
489,15,2,88,2018-05-05,2018-05-11
490,5,1,198,2017-07-03,2017-07-24
491,3,4,183,2017-07-18,2017-08-01
492,16,1,173,2018-12-06,2018-12-26
493,27,5,74,2018-02-04,2018-02-07
494,10,1,32,2018-06-29,2018-07-14
495,29,2,44,2017-06-07,2017-06-19
496,44,3,126,2018-05-09,2018-05-30
497,36,5,125,2018-04-28,2018-05-19
498,12,1,53,2018-08-08,2018-08-20
499,11,4,21,2018-01-23,2018-02-02
500,27,2,12,2017-10-23,2017-11-09
