id,order_id,product_id,customer_id,rating,review_date
115,126,13,513,4,2018-10-24
116,132,43,297,5,2018-03-12
117,138,15,411,5,2018-10-25
118,140,4,227,5,2018-07-08
119,142,49,544,4,2018-09-24
120,143,21,928,5,2018-07-06
121,144,41,745,5,2018-12-05
122,150,43,460,3,2018-12-31
123,152,14,331,2,2018-12-01
124,153,7,155,5,2018-08-26
125,154,39,481,4,2018-08-23
126,157,50,76,5,2018-07-04
127,160,49,661,5,2018-03-09
128,162,9,474,3,2018-11-18
129,164,31,931,4,2018-11-02
130,166,50,514,4,2018-03-26
131,170,29,254,4,2019-01-23
132,171,36,450,4,2018-10-09
133,174,7,419,5,2018-07-08
134,176,7,68,4,2018-07-07
135,178,39,291,2,2018-05-21
136,182,49,991,1,2018-12-16
137,186,48,687,5,2019-01-06
138,189,35,372,5,2018-07-01
139,195,14,39,3,2018-12-17
140,196,14,898,3,2018-11-24
141,197,48,612,4,2018-07-14
142,202,3,626,4,2018-05-30
143,203,17,240,4,2018-10-03
144,207,16,797,4,2018-07-17
145,211,24,657,4,2018-09-29
146,217,11,970,5,2018-04-26
147,224,33,811,4,2018-03-21
148,226,6,713,4,2018-03-25
149,243,8,977,5,2018-10-04
150,246,32,45,5,2018-12-19
151,251,24,137,4,2018-01-24
152,257,2,301,4,2018-04-27
153,263,7,887,2,2018-12-06
154,264,4,280,5,2018-04-02
155,269,36,947,3,2018-10-05
156,273,19,301,4,2018-07-05
157,275,30,314,4,2018-08-26
158,277,43,707,3,2018-09-06
159,278,8,458,5,2018-02-21
160,283,34,976,5,2018-01-25
161,285,35,36,2,2018-03-29
162,291,13,588,3,2018-03-13
163,295,29,754,5,2018-04-30
164,297,50,121,5,2018-06-12
165,300,50,205,5,2018-03-31
166,301,20,874,5,2018-03-02
167,302,37,177,4,2018-08-19
168,311,13,810,4,2018-09-29
169,316,44,735,5,2018-09-17
170,320,27,478,5,2019-01-05
171,322,15,656,5,2018-11-08
172,324,5,515,5,2018-02-16
173,326,29,169,5,2018-04-19
174,336,36,738,5,2018-11-28
175,337,6,863,5,2018-10-27
176,338,48,846,5,2018-01-28
177,340,22,272,5,2018-12-24
178,342,32,633,4,2018-12-15
179,344,33,297,5,2018-12-24
180,345,22,495,5,2018-06-05
181,347,20,706,5,2018-02-10
182,348,10,451,5,2018-08-08
183,353,34,779,2,2018-07-24
184,354,30,576,5,2018-03-18
185,369,32,507,5,2018-11-27
186,374,14,47,5,2018-08-07
187,377,28,76,4,2018-07-20
188,379,24,846,4,2018-12-10
189,385,12,47,4,2018-02-03
190,396,50,427,4,2018-10-30
191,399,5,991,5,2018-12-04
192,404,32,842,5,2018-12-23
193,406,14,196,5,2018-01-12
194,409,4,421,4,2018-09-29
195,410,40,943,3,2018-09-04
196,412,18,213,4,2018-10-27
197,413,11,679,1,2018-09-19
198,414,2,386,5,2018-06-14
199,418,13,981,2,2018-05-16
200,419,42,572,4,2018-06-19
201,420,40,965,3,2018-06-08
202,428,34,355,5,2018-08-19
203,433,3,759,4,2018-11-14
204,434,25,249,5,2018-02-04
205,437,24,339,4,2018-09-07
206,438,30,698,4,2018-03-28
207,444,11,930,3,2018-02-20
208,445,37,238,5,2018-10-04
209,447,32,904,5,2018-04-09
210,451,39,618,4,2018-03-21
211,453,24,537,1,2018-10-02
212,454,19,872,4,2018-10-06
213,455,29,280,5,2018-04-14
214,457,49,664,5,2018-06-02
215,458,25,15,4,2018-07-09
216,460,45,180,5,2018-11-23
217,463,30,686,5,2018-02-20
218,467,30,458,4,2018-06-04
219,469,9,12,5,2018-05-27
220,470,5,710,5,2018-05-19
221,471,3,684,4,2018-03-05
222,473,12,703,4,2018-09-24
223,474,37,707,5,2018-03-10
224,476,12,225,5,2018-03-22
225,477,49,157,5,2018-09-07
226,484,20,80,4,2018-11-07
227,488,37,875,3,2018-10-18
228,489,36,120,4,2019-01-10
229,492,6,829,4,2018-02-11
230,500,13,555,5,2018-02-01
231,502,41,294,5,2018-08-13
232,503,16,788,5,2018-03-20
233,507,6,137,5,2018-12-17
234,512,27,475,2,2018-12-14
235,516,20,283,4,2018-05-06
236,520,46,609,4,2018-02-01
237,524,48,223,4,2018-02-06
238,529,39,677,4,2018-10-14
239,534,12,996,3,2018-07-04
240,535,11,805,4,2018-10-16
241,548,8,53,3,2018-06-16
242,554,31,980,4,2018-02-06
243,559,19,330,4,2018-06-17
244,561,43,316,3,2018-05-27
245,571,21,236,5,2018-07-17
246,573,29,564,5,2018-12-14
247,576,20,174,3,2018-03-22
248,579,24,35,4,2018-02-14
249,589,34,18,3,2018-10-22
250,597,40,815,4,2018-08-02
251,600,47,308,5,2019-01-12
252,601,14,670,3,2018-12-17
253,606,40,512,2,2018-08-15
254,608,1,942,5,2018-02-09
255,609,36,217,3,2019-01-20
256,611,28,947,5,2018-03-05
257,613,21,674,4,2018-01-23
258,617,22,952,5,2018-02-18
259,620,20,340,3,2018-08-05
260,621,44,810,5,2018-12-24
261,624,42,859,5,2018-03-04
262,627,4,650,5,2018-06-08
263,628,22,503,4,2018-05-06
264,633,41,818,2,2018-05-19
265,634,40,85,5,2018-06-01
266,639,2,369,4,2018-06-09
267,640,43,136,5,2018-03-12
268,641,10,442,5,2018-08-28
269,644,16,363,4,2018-10-24
270,647,33,299,3,2018-08-02
271,654,15,446,2,2018-06-01
272,658,49,609,2,2018-11-23
273,660,29,312,1,2018-01-08
274,662,24,824,2,2018-07-05
275,667,40,988,4,2018-08-03
276,674,12,699,5,2018-10-27
277,675,44,976,5,2018-08-30
278,676,41,449,4,2018-06-22
279,678,2,143,3,2018-12-16
280,679,15,248,5,2018-05-19
281,683,14,548,4,2018-09-24
282,685,38,719,4,2018-10-21
283,687,42,788,5,2018-05-14
284,688,49,171,5,2018-12-24
285,691,11,109,3,2018-01-28
286,693,29,765,5,2018-10-02
287,696,1,401,5,2018-09-06
288,699,24,108,5,2018-06-26
289,700,17,943,5,2018-02-27
290,705,32,100,2,2018-09-01
291,707,4,46,5,2019-01-17
292,709,1,694,4,2018-03-31
293,710,43,529,4,2018-04-13
294,716,6,905,5,2018-05-12
295,717,11,607,4,2018-08-22
296,721,48,192,4,2018-07-23
297,722,20,202,5,2018-09-05
298,725,46,612,4,2018-08-13
299,732,44,313,3,2018-03-15
300,735,8,611,5,2018-03-13
301,739,14,569,5,2018-03-30
302,741,37,323,3,2018-09-07
303,745,47,518,5,2018-12-28
304,746,2,419,4,2018-12-27
305,749,11,579,3,2018-01-31
306,758,20,560,3,2018-05-08
307,759,20,105,5,2018-12-11
308,761,34,270,4,2018-07-28
309,763,24,215,5,2018-11-05
310,774,25,284,5,2018-12-25
311,777,12,849,5,2018-05-25
312,778,43,502,5,2018-03-21
313,779,17,648,2,2018-05-24
314,783,9,466,4,2018-10-04
315,787,15,408,4,2018-05-19
316,789,35,275,5,2018-07-15
317,790,46,346,1,2018-11-03
318,794,11,17,3,2018-04-03
319,808,14,10,4,2018-01-10
320,811,45,73,5,2018-05-27
321,814,24,141,4,2018-08-08
322,815,27,657,5,2019-01-01
323,818,1,451,4,2018-06-30
324,821,42,881,5,2018-05-06
325,822,24,919,5,2018-03-20
326,829,36,615,4,2018-11-09
327,832,42,211,4,2018-09-24
328,834,44,303,5,2018-12-26
329,838,50,73,5,2018-10-20
330,840,24,397,5,2018-11-06
331,844,44,15,5,2018-05-21
332,850,48,631,3,2018-04-19
333,851,27,86,3,2018-06-18
334,854,37,601,5,2018-12-03
335,856,6,748,5,2018-05-26
336,859,39,624,5,2018-01-30
337,860,7,683,5,2018-12-29
338,861,12,123,5,2018-01-11
339,862,39,719,3,2018-01-31
340,863,2,509,5,2018-07-13
341,867,25,344,3,2018-09-03
342,869,17,730,5,2018-11-12
343,870,43,509,5,2018-08-28
344,873,18,377,4,2018-04-21
345,874,4,792,1,2018-03-22
346,876,21,759,5,2018-10-13
347,877,5,46,3,2018-01-27
348,879,40,393,5,2018-04-11
349,882,45,230,5,2018-06-29
350,890,22,793,5,2018-06-23
351,891,33,89,5,2018-11-08
352,896,26,996,3,2018-09-26
353,899,32,25,5,2018-05-02
354,900,35,355,4,2018-12-10
355,901,26,974,2,2018-06-25
356,904,11,211,5,2018-10-26
357,915,43,243,4,2018-06-02
358,916,47,872,5,2018-07-09
359,919,34,77,4,2018-04-18
360,922,16,461,2,2018-09-06
361,923,43,417,5,2018-03-21
362,924,48,367,4,2018-05-05
363,928,12,847,5,2019-01-10
364,931,26,992,2,2018-07-21
365,933,18,267,4,2018-04-12
366,937,7,824,3,2018-03-19
367,939,4,134,5,2018-04-13
368,941,39,597,3,2018-11-24
369,942,34,940,4,2018-02-22
370,946,39,44,5,2018-09-02
371,955,40,511,4,2018-08-19
372,956,22,491,5,2018-02-10
373,959,26,256,5,2018-12-13
374,968,15,829,5,2018-09-21
375,970,49,998,5,2018-04-11
376,982,47,857,5,2018-10-02
377,985,18,239,4,2018-11-17
378,988,19,207,5,2018-03-17
379,993,49,882,5,2018-07-23
380,996,21,310,4,2018-06-21
381,999,14,665,5,2018-06-24
